sleep time resolution: 11.04 ms.
### TRAIN ###
1332208188.052785 1332208188.726795 46
1332208188.052812 1332208188.727373 47
1332208188.052839 1332208188.727563 48
1332208188.052866 1332208188.728050 49

### TRAIN ###
1332208188.665447 1332208189.322276 0
1332208188.665480 1332208189.322626 1
1332208188.665507 1332208189.322805 2
1332208188.665534 1332208189.322979 3
1332208188.665560 1332208189.323121 4
1332208188.665588 1332208189.323315 5
1332208188.665615 1332208189.323493 6
1332208188.665641 1332208189.323679 7
1332208188.665667 1332208189.323851 8
1332208188.665693 1332208189.324432 9
1332208188.665720 1332208189.324692 10
1332208188.665747 1332208189.324796 11
1332208188.665778 1332208189.324992 12
1332208188.665806 1332208189.325156 13
1332208188.665833 1332208189.325692 14
1332208188.665859 1332208189.325946 15
1332208188.665886 1332208189.326802 16
1332208188.665912 1332208189.326966 17
1332208188.665939 1332208189.327450 18
1332208188.665965 1332208189.327606 19
1332208188.665994 1332208189.327701 20
1332208188.666020 1332208189.328179 21
1332208188.666046 1332208189.328617 22
1332208188.666073 1332208189.329096 23
1332208188.666099 1332208189.329562 24
1332208188.666126 1332208189.330089 25
1332208188.666152 1332208189.330276 26
1332208188.666179 1332208189.331030 27
1332208188.666208 1332208189.331650 28
1332208188.666236 1332208189.331658 29
1332208188.666263 1332208189.332434 30
1332208188.666289 1332208189.332443 31
1332208188.666315 1332208189.333158 32
1332208188.666342 1332208189.333933 33
1332208188.666368 1332208189.334383 34
1332208188.666396 1332208189.334392 35
1332208188.666423 1332208189.335162 36
1332208188.666454 1332208189.335171 37
1332208188.666481 1332208189.335841 38
1332208188.666507 1332208189.335850 39
1332208188.666542 1332208189.336564 40
1332208188.666571 1332208189.337111 41
1332208188.666598 1332208189.337559 42
1332208188.666624 1332208189.338082 43
1332208188.666655 1332208189.338092 44
1332208188.666682 1332208189.338854 45
1332208188.666709 1332208189.339413 46
1332208188.666737 1332208189.339898 47
1332208188.666764 1332208189.340358 48
1332208188.666790 1332208189.340842 49

### TRAIN ###
1332208189.294459 1332208189.947838 0
1332208189.294496 1332208189.948108 1
1332208189.294522 1332208189.948752 2
1332208189.294548 1332208189.948855 3
1332208189.294574 1332208189.949440 4
1332208189.294601 1332208189.949966 5
1332208189.294629 1332208189.950465 6
1332208189.294654 1332208189.950925 7
1332208189.294685 1332208189.951443 8
1332208189.294712 1332208189.951539 9
1332208189.294740 1332208189.952098 10
1332208189.294767 1332208189.952648 11
1332208189.294794 1332208189.953165 12
1332208189.294821 1332208189.953673 13
1332208189.294847 1332208189.953895 14
1332208189.294873 1332208189.954603 15
1332208189.294901 1332208189.954774 16
1332208189.294927 1332208189.955288 17
1332208189.294953 1332208189.955607 18
1332208189.294980 1332208189.956071 19
1332208189.295006 1332208189.956569 20
1332208189.295037 1332208189.957099 21
1332208189.295063 1332208189.957209 22
1332208189.295089 1332208189.957788 23
1332208189.295119 1332208189.958754 24
1332208189.295147 1332208189.958884 25
1332208189.295174 1332208189.959461 26
1332208189.295200 1332208189.959629 27
1332208189.295228 1332208189.959991 28
1332208189.295254 1332208189.960511 29
1332208189.295280 1332208189.960668 30
1332208189.295306 1332208189.961248 31
1332208189.295333 1332208189.961784 32
1332208189.295359 1332208189.961959 33
1332208189.295385 1332208189.962408 34
1332208189.295411 1332208189.963410 35
1332208189.295438 1332208189.963757 36
1332208189.295471 1332208189.963844 37
1332208189.295498 1332208189.964493 38
1332208189.295524 1332208189.964573 39
1332208189.295554 1332208189.965133 40
1332208189.295587 1332208189.965588 41
1332208189.295614 1332208189.966104 42
1332208189.295642 1332208189.966663 43
1332208189.295669 1332208189.967234 44
1332208189.295695 1332208189.967409 45
1332208189.295723 1332208189.967967 46
1332208189.295752 1332208189.968205 47
1332208189.295758 1332208189.968843 48
1332208189.295762 1332208189.969452 49

### TRAIN ###
1332208189.905463 1332208190.558668 0
1332208189.905496 1332208190.558884 1
1332208189.905523 1332208190.559364 2
1332208189.905555 1332208190.559912 3
1332208189.905584 1332208190.560146 4
1332208189.905611 1332208190.560734 5
1332208189.905639 1332208190.561074 6
1332208189.905667 1332208190.561512 7
1332208189.905694 1332208190.562128 8
1332208189.905720 1332208190.562705 9
1332208189.905747 1332208190.563201 10
1332208189.905773 1332208190.564190 11
1332208189.905800 1332208190.564807 12
1332208189.905826 1332208190.565292 13
1332208189.905852 1332208190.565398 14
1332208189.905879 1332208190.566146 15
1332208189.905905 1332208190.566349 16
1332208189.905931 1332208190.566820 17
1332208189.905958 1332208190.567098 18
1332208189.905989 1332208190.570566 19
1332208189.906018 1332208190.571074 20
1332208189.906053 1332208190.571240 21
1332208189.906085 1332208190.571458 22
1332208189.906112 1332208190.571590 23
1332208189.906139 1332208190.571736 24
1332208189.906166 1332208190.571989 25
1332208189.906194 1332208190.572132 26
1332208189.906221 1332208190.572631 27
1332208189.906247 1332208190.572796 28
1332208189.906274 1332208190.572977 29
1332208189.906301 1332208190.573126 30
1332208189.906327 1332208190.573351 31
1332208189.906354 1332208190.573914 32
1332208189.906381 1332208190.574090 33
1332208189.906409 1332208190.574638 34
1332208189.906439 1332208190.574715 35
1332208189.906472 1332208190.575285 36
1332208189.906501 1332208190.575583 37
1332208189.906529 1332208190.575946 38
1332208189.906557 1332208190.576459 39
1332208189.906585 1332208190.576985 40
1332208189.906620 1332208190.577575 41
1332208189.906648 1332208190.577705 42
1332208189.906675 1332208190.583848 43
1332208189.906701 1332208190.583864 44
1332208189.906727 1332208190.584566 45
1332208189.906754 1332208190.584727 46
1332208189.906781 1332208190.584912 47
1332208189.906808 1332208190.585090 48
1332208189.906835 1332208190.585265 49

### TRAIN ###
1332208190.520473 1332208191.174199 0
1332208190.520506 1332208191.174493 1
1332208190.520533 1332208191.174978 2
1332208190.520560 1332208191.175414 3
1332208190.520592 1332208191.175926 4
1332208190.520622 1332208191.176918 5
1332208190.520651 1332208191.177560 6
1332208190.520680 1332208191.177567 7
1332208190.520708 1332208191.178405 8
1332208190.520736 1332208191.178785 9
1332208190.520763 1332208191.179246 10
1332208190.520790 1332208191.179767 11
1332208190.520817 1332208191.180174 12
1332208190.520844 1332208191.180719 13
1332208190.520872 1332208191.181309 14
1332208190.520899 1332208191.181749 15
1332208190.520925 1332208191.182260 16
1332208190.520952 1332208191.182842 17
1332208190.520980 1332208191.183265 18
1332208190.521007 1332208191.183951 19
1332208190.521038 1332208191.184462 20
1332208190.521073 1332208191.184644 21
1332208190.521102 1332208191.185122 22
1332208190.521131 1332208191.185690 23
1332208190.521159 1332208191.186235 24
1332208190.521186 1332208191.186724 25
1332208190.521213 1332208191.187417 26
1332208190.521240 1332208191.187658 27
1332208190.521267 1332208191.188079 28
1332208190.521295 1332208191.188560 29
1332208190.521322 1332208191.189101 30
1332208190.521349 1332208191.191718 31
1332208190.521376 1332208191.192276 32
1332208190.521402 1332208191.192465 33
1332208190.521429 1332208191.192647 34
1332208190.521456 1332208191.192712 35
1332208190.521490 1332208191.192883 36
1332208190.521520 1332208191.193384 37
1332208190.521549 1332208191.193566 38
1332208190.521578 1332208191.193746 39
1332208190.521606 1332208191.194290 40
1332208190.521640 1332208191.194543 41
1332208190.521669 1332208191.195449 42
1332208190.521696 1332208191.196026 43
1332208190.521723 1332208191.196554 44
1332208190.521750 1332208191.196705 45
1332208190.521777 1332208191.197166 46
1332208190.521804 1332208191.197528 47
1332208190.521831 1332208191.197995 48
1332208190.521860 1332208191.198541 49

### TRAIN ###
1332208191.135479 1332208191.789199 0
1332208191.135511 1332208191.789520 1
1332208191.135539 1332208191.790785 2
1332208191.135565 1332208191.790805 3
1332208191.135593 1332208191.791193 4
1332208191.135621 1332208191.791513 5
1332208191.135648 1332208191.791630 6
1332208191.135676 1332208191.792162 7
1332208191.135703 1332208191.792391 8
1332208191.135730 1332208191.792885 9
1332208191.135761 1332208191.794128 10
1332208191.135790 1332208191.794322 11
1332208191.135819 1332208191.794508 12
1332208191.135848 1332208191.795020 13
1332208191.135876 1332208191.795204 14
1332208191.135903 1332208191.795383 15
1332208191.135930 1332208191.795825 16
1332208191.135957 1332208191.796353 17
1332208191.135984 1332208191.796783 18
1332208191.136011 1332208191.797329 19
1332208191.136038 1332208191.797575 20
1332208191.136072 1332208191.798097 21
1332208191.136100 1332208191.798655 22
1332208191.136127 1332208191.798833 23
1332208191.136153 1332208191.799320 24
1332208191.136180 1332208191.799849 25
1332208191.136212 1332208191.800358 26
1332208191.136242 1332208191.800538 27
1332208191.136270 1332208191.801121 28
1332208191.136300 1332208191.801680 29
1332208191.136328 1332208191.802156 30
1332208191.136356 1332208191.802246 31
1332208191.136384 1332208191.802865 32
1332208191.136411 1332208191.803402 33
1332208191.136438 1332208191.803560 34
1332208191.136465 1332208191.804176 35
1332208191.136498 1332208191.804726 36
1332208191.136526 1332208191.805269 37
1332208191.136554 1332208191.805363 38
1332208191.136581 1332208191.805977 39
1332208191.136617 1332208191.806517 40
1332208191.136646 1332208191.806665 41
1332208191.136678 1332208191.807375 42
1332208191.136707 1332208191.807574 43
1332208191.136736 1332208191.808058 44
1332208191.136764 1332208191.808508 45
1332208191.136793 1332208191.809073 46
1332208191.136820 1332208191.809265 47
1332208191.136847 1332208191.809776 48
1332208191.136874 1332208191.810329 49

### TRAIN ###
1332208191.746488 1332208192.399751 0
1332208191.746502 1332208192.400374 1
1332208191.746508 1332208192.400388 2
1332208191.746512 1332208192.400949 3
1332208191.746517 1332208192.401479 4
1332208191.746523 1332208192.401491 5
1332208191.746529 1332208192.402170 6
1332208191.746536 1332208192.402645 7
1332208191.746542 1332208192.403179 8
1332208191.746547 1332208192.403192 9
1332208191.746554 1332208192.403868 10
1332208191.746560 1332208192.404406 11
1332208191.746566 1332208192.404939 12
1332208191.746572 1332208192.405383 13
1332208191.746579 1332208192.406439 14
1332208191.746585 1332208192.406451 15
1332208191.746591 1332208192.408134 16
1332208191.746599 1332208192.408146 17
1332208191.746606 1332208192.408416 18
1332208191.746612 1332208192.408937 19
1332208191.746618 1332208192.409117 20
1332208191.746624 1332208192.409213 21
1332208191.746630 1332208192.409782 22
1332208191.746635 1332208192.409943 23
1332208191.746642 1332208192.411347 24
1332208191.746648 1332208192.411563 25
1332208191.746654 1332208192.411765 26
1332208191.746660 1332208192.411795 27
1332208191.746667 1332208192.412325 28
1332208191.746672 1332208192.412537 29
1332208191.746679 1332208192.412997 30
1332208191.746685 1332208192.413178 31
1332208191.746690 1332208192.413703 32
1332208191.746698 1332208192.414268 33
1332208191.746705 1332208192.414550 34
1332208191.746711 1332208192.415245 35
1332208191.746717 1332208192.415703 36
1332208191.746723 1332208192.416210 37
1332208191.746729 1332208192.416229 38
1332208191.746735 1332208192.416797 39
1332208191.746741 1332208192.417544 40
1332208191.746747 1332208192.417765 41
1332208191.746753 1332208192.418288 42
1332208191.746760 1332208192.418411 43
1332208191.746767 1332208192.419075 44
1332208191.746772 1332208192.419591 45
1332208191.746779 1332208192.419767 46
1332208191.746785 1332208192.420448 47
1332208191.746791 1332208192.420924 48
1332208191.746799 1332208192.421442 49

### TRAIN ###
1332208192.355494 1332208193.009450 0
1332208192.355532 1332208193.009848 1
1332208192.355561 1332208193.010310 2
1332208192.355591 1332208193.010443 3
1332208192.355618 1332208193.010987 4
1332208192.355645 1332208193.011495 5
1332208192.355671 1332208193.011956 6
1332208192.355701 1332208193.012452 7
1332208192.355729 1332208193.012605 8
1332208192.355758 1332208193.013095 9
1332208192.355787 1332208193.013577 10
1332208192.355794 1332208193.014113 11
1332208192.355799 1332208193.014784 12
1332208192.355803 1332208193.015363 13
1332208192.355807 1332208193.015509 14
1332208192.355811 1332208193.016101 15
1332208192.355821 1332208193.016361 16
1332208192.355827 1332208193.016822 17
1332208192.355833 1332208193.017011 18
1332208192.355838 1332208193.017567 19
1332208192.355845 1332208193.018340 20
1332208192.355851 1332208193.018888 21
1332208192.355857 1332208193.019346 22
1332208192.355863 1332208193.019782 23
1332208192.355870 1332208193.019908 24
1332208192.355876 1332208193.020311 25
1332208192.355882 1332208193.020734 26
1332208192.355888 1332208193.021304 27
1332208192.355893 1332208193.021833 28
1332208192.355900 1332208193.022373 29
1332208192.355906 1332208193.022614 30
1332208192.355911 1332208193.023091 31
1332208192.355919 1332208193.023586 32
1332208192.355928 1332208193.024092 33
1332208192.355933 1332208193.024677 34
1332208192.355939 1332208193.024803 35
1332208192.355945 1332208193.025554 36
1332208192.355950 1332208193.026049 37
1332208192.355957 1332208193.026298 38
1332208192.355963 1332208193.026814 39
1332208192.355969 1332208193.026990 40
1332208192.355974 1332208193.027373 41
1332208192.355980 1332208193.028319 42
1332208192.355986 1332208193.028446 43
1332208192.355992 1332208193.028956 44
1332208192.355998 1332208193.029515 45
1332208192.356004 1332208193.029998 46
1332208192.356011 1332208193.030175 47
1332208192.356018 1332208193.030645 48
1332208192.356024 1332208193.031347 49

### MEAS ###
1332208198.291047 1332208198.946158 1 1
1332208198.291495 1332208198.946399 2 1
1332208198.291940 1332208198.946586 3 1
1332208198.292387 1332208198.946706 4 1
1332208198.292834 1332208198.946877 5 1
1332208198.293280 1332208198.947347 6 1
1332208198.293726 1332208198.947555 7 1
1332208198.294172 1332208198.947733 8 1
1332208198.294618 1332208198.949329 9 1
1332208198.295065 1332208198.949364 10 1
1332208198.295511 1332208198.949611 11 1
1332208198.295957 1332208198.949759 12 1
1332208198.296403 1332208198.950193 13 1
1332208198.296849 1332208198.950340 14 1
1332208198.297295 1332208198.950868 15 1
1332208198.297741 1332208198.951426 16 1
1332208198.298187 1332208198.951685 17 1
1332208198.298634 1332208198.952207 18 1
1332208198.299081 1332208198.952749 19 1
1332208198.299558 1332208198.953514 20 1
1332208198.300003 1332208198.954101 21 1
1332208198.300450 1332208198.954598 22 1
1332208198.300897 1332208198.955014 23 1
1332208198.301344 1332208198.955185 24 1
1332208198.301790 1332208198.955630 25 1
1332208198.302237 1332208198.956666 26 1
1332208198.302683 1332208198.957141 27 1
1332208198.303130 1332208198.957162 28 1
1332208198.303576 1332208198.957788 29 1
1332208198.304023 1332208198.957893 30 1
1332208198.304469 1332208198.958251 31 1
1332208198.304916 1332208198.958711 32 1
1332208198.305362 1332208198.959242 33 1
1332208198.305808 1332208198.959768 34 1
1332208198.306254 1332208198.960178 35 1
1332208198.306700 1332208198.960345 36 1
1332208198.307147 1332208198.961103 37 1
1332208198.307594 1332208198.961733 38 1
1332208198.308040 1332208198.961760 39 1
1332208198.308486 1332208198.962500 40 1
1332208198.308932 1332208198.962886 41 1
1332208198.309378 1332208198.963105 42 1
1332208198.309824 1332208198.963625 43 1
1332208198.310270 1332208198.964073 44 1
1332208198.310716 1332208198.964660 45 1
1332208198.311162 1332208198.964722 46 1
1332208198.311609 1332208198.965241 47 1
1332208198.312055 1332208198.965709 48 1
1332208198.312502 1332208198.966162 49 1
1332208198.312949 1332208198.966632 50 1
1332208198.313395 1332208198.967126 51 1
1332208198.313842 1332208198.967690 52 1
1332208198.314288 1332208198.968169 53 1
1332208198.314735 1332208198.968691 54 1
1332208198.315181 1332208198.969262 55 1
1332208198.315628 1332208198.969753 56 1
1332208198.316075 1332208198.970158 57 1
1332208198.316521 1332208198.970740 58 1
1332208198.316967 1332208198.971588 59 1
1332208198.317413 1332208198.972048 60 1
1332208198.317859 1332208198.972563 61 1
1332208198.318306 1332208198.973015 62 1
1332208198.318752 1332208198.973578 63 1
1332208198.319199 1332208198.974319 64 1
1332208198.319646 1332208198.974875 65 1
1332208198.320093 1332208198.975919 66 1
1332208198.320540 1332208198.976371 67 1
1332208198.320987 1332208198.976817 68 1
1332208198.321433 1332208198.977355 69 1
1332208198.321879 1332208198.977781 70 1
1332208198.322325 1332208198.978234 71 1
1332208198.322771 1332208198.978768 72 1
1332208198.323218 1332208198.979355 73 1
1332208198.323665 1332208198.979821 74 1
1332208198.324111 1332208198.980325 75 1
1332208198.324558 1332208198.980804 76 1
1332208198.325005 1332208198.981182 77 1
1332208198.325451 1332208198.981696 78 1
1332208198.325897 1332208198.982381 79 1
1332208198.326343 1332208198.983091 80 1
1332208198.326790 1332208198.983113 81 1
1332208198.327236 1332208198.985310 82 1
1332208198.327683 1332208198.985325 83 1
1332208198.328130 1332208198.985847 84 1
1332208198.328576 1332208198.986104 85 1
1332208198.329022 1332208198.986176 86 1
1332208198.329469 1332208198.986311 87 1
1332208198.329915 1332208198.986866 88 1
1332208198.330361 1332208198.987423 89 1
1332208198.330807 1332208198.987563 90 1
1332208198.331253 1332208198.988053 91 1
1332208198.331700 1332208198.988585 92 1
1332208198.332147 1332208198.989476 93 1
1332208198.332593 1332208198.989492 94 1
1332208198.333039 1332208198.990011 95 1
1332208198.333486 1332208198.990546 96 1
1332208198.333932 1332208198.991086 97 1
1332208198.334379 1332208198.991570 98 1
1332208198.334826 1332208198.992054 99 1
1332208198.335272 1332208198.992497 100 1
1332208198.335719 1332208198.993019 101 1
1332208198.336165 1332208198.993690 102 1
1332208198.336611 1332208198.994213 103 1
1332208198.337057 1332208198.994830 104 1
1332208198.337503 1332208198.995323 105 1
1332208198.337949 1332208198.995335 106 1
1332208198.338395 1332208198.996044 107 1
1332208198.338842 1332208198.996522 108 1
1332208198.339289 1332208198.997021 109 1
1332208198.339735 1332208198.997474 110 1
1332208198.340181 1332208198.997998 111 1
1332208198.340628 1332208198.998174 112 1
1332208198.341074 1332208198.998665 113 1
1332208198.341520 1332208198.999115 114 1
1332208198.341966 1332208198.999575 115 1
1332208198.342412 1332208199.000111 116 1
1332208198.342859 1332208199.000508 117 1
1332208198.343306 1332208199.001418 118 1
1332208198.343752 1332208199.001922 119 1
1332208198.344198 1332208199.001943 120 1
1332208198.344645 1332208199.002659 121 1
1332208198.345092 1332208199.003095 122 1
1332208198.345539 1332208199.003460 123 1
1332208198.345986 1332208199.004031 124 1
1332208198.346433 1332208199.004410 125 1
1332208198.346880 1332208199.004931 126 1
1332208198.347326 1332208199.005400 127 1
1332208198.347772 1332208199.005821 128 1
1332208198.348218 1332208199.006996 129 1
1332208198.348664 1332208199.007500 130 1
1332208198.349111 1332208199.007944 131 1
1332208198.349557 1332208199.008419 132 1
1332208198.350003 1332208199.008905 133 1
1332208198.350450 1332208199.009417 134 1
1332208198.350896 1332208199.009926 135 1
1332208198.351342 1332208199.010485 136 1
1332208198.351788 1332208199.011047 137 1
1332208198.352235 1332208199.011225 138 1
1332208198.352681 1332208199.011744 139 1
1332208198.353127 1332208199.012165 140 1
1332208198.353573 1332208199.012638 141 1
1332208198.354020 1332208199.012863 142 1
1332208198.354466 1332208199.013275 143 1
1332208198.354912 1332208199.013726 144 1
1332208198.355358 1332208199.014363 145 1
1332208198.355805 1332208199.014936 146 1
1332208198.356251 1332208199.015041 147 1
1332208198.356697 1332208199.018096 148 1
1332208198.357143 1332208199.018298 149 1
1332208198.357589 1332208199.018558 150 1
1332208198.358035 1332208199.018674 151 1
1332208198.358481 1332208199.018924 152 1
1332208198.358928 1332208199.019052 153 1
1332208198.359375 1332208199.019267 154 1
1332208198.359821 1332208199.019453 155 1
1332208198.360267 1332208199.019885 156 1
1332208198.360713 1332208199.020105 157 1
1332208198.361160 1332208199.020184 158 1
1332208198.361607 1332208199.020698 159 1
1332208198.362054 1332208199.020913 160 1
1332208198.362501 1332208199.021522 161 1
1332208198.362947 1332208199.021762 162 1
1332208198.363394 1332208199.022302 163 1
1332208198.363840 1332208199.022831 164 1
1332208198.364286 1332208199.022991 165 1
1332208198.364733 1332208199.023651 166 1
1332208198.365180 1332208199.024249 167 1
1332208198.365626 1332208199.024262 168 1
1332208198.366073 1332208199.024911 169 1
1332208198.366519 1332208199.030034 170 1
1332208198.366966 1332208199.030226 171 1
1332208198.367413 1332208199.030512 172 1
1332208198.367859 1332208199.030639 173 1
1332208198.368306 1332208199.030768 174 1
1332208198.368752 1332208199.031009 175 1
1332208198.369199 1332208199.031213 176 1
1332208198.369645 1332208199.031411 177 1
1332208198.370091 1332208199.031926 178 1
1332208198.370538 1332208199.032111 179 1
1332208198.370985 1332208199.032296 180 1
1332208198.371431 1332208199.032478 181 1
1332208198.371877 1332208199.032659 182 1
1332208198.372323 1332208199.032842 183 1
1332208198.372769 1332208199.033025 184 1
1332208198.373215 1332208199.033196 185 1
1332208198.373661 1332208199.033773 186 1
1332208198.374107 1332208199.033977 187 1
1332208198.374554 1332208199.034156 188 1
1332208198.375000 1332208199.034359 189 1
1332208198.375447 1332208199.034484 190 1
1332208198.375893 1332208199.035684 191 1
1332208198.376339 1332208199.035695 192 1
1332208198.376785 1332208199.036044 193 1
1332208198.377231 1332208199.036565 194 1
1332208198.377678 1332208199.036593 195 1
1332208198.378125 1332208199.036928 196 1
1332208198.378571 1332208199.037433 197 1
1332208198.379017 1332208199.037490 198 1
1332208198.379463 1332208199.038453 199 1
1332208198.379909 1332208199.038478 200 1
1332208198.380356 1332208199.039040 201 1
1332208198.380803 1332208199.039161 202 1
1332208198.381250 1332208199.039617 203 1
1332208198.381696 1332208199.040058 204 1
1332208198.382142 1332208199.040565 205 1
1332208198.382589 1332208199.040712 206 1
1332208198.383035 1332208199.041214 207 1
1332208198.383481 1332208199.041720 208 1
1332208198.383927 1332208199.042145 209 1
1332208198.384373 1332208199.044642 210 1
1332208198.384820 1332208199.044844 211 1
1332208198.385267 1332208199.045613 212 1
1332208198.385714 1332208199.046118 213 1
1332208198.386161 1332208199.047019 214 1
1332208198.386607 1332208199.047655 215 1
1332208198.387054 1332208199.048108 216 1
1332208198.387500 1332208199.048587 217 1
1332208198.387946 1332208199.049102 218 1
1332208198.388393 1332208199.049275 219 1
1332208198.388840 1332208199.050065 220 1
1332208198.389286 1332208199.050224 221 1
1332208198.389732 1332208199.050662 222 1
1332208198.390178 1332208199.051152 223 1
1332208198.390625 1332208199.051570 224 1
1332208198.391071 1332208199.052274 225 1
1332208198.391517 1332208199.052453 226 1
1332208198.391963 1332208199.052995 227 1
1332208198.392409 1332208199.053563 228 1
1332208198.392855 1332208199.053601 229 1
1332208198.393302 1332208199.054202 230 1
1332208198.393749 1332208199.054448 231 1
1332208198.394195 1332208199.054916 232 1
1332208198.394641 1332208199.055395 233 1
1332208198.395087 1332208199.055894 234 1
1332208198.395533 1332208199.057099 235 1
1332208198.395979 1332208199.057349 236 1
1332208198.396425 1332208199.057413 237 1
1332208198.396872 1332208199.058181 238 1
1332208198.397318 1332208199.058261 239 1
1332208198.397764 1332208199.058842 240 1
1332208198.398210 1332208199.058852 241 1
1332208198.398656 1332208199.059540 242 1
